	X1004V4	X1055V4	X1075V6	X1107V4	C132V8	C161V8	C220V8	C532V8	K003V4	K014V2	Z002	Z003	Z007	Z008	Z010	Z011	Z015	Z017	Z018	Z020
HMDB0030404	-0.196903552	0.398135123	0.034524557	-0.037413367	-0.021943489	-0.093398031	-0.031984862	-0.099192684	0.010386406	-0.030395814	0.264784239	0.105080459	0.19841001	0.093016729	-0.143443505	0.143345491	-0.126386683	-0.187862158	-0.091944961	-0.026711478
HMDB0030407	-1.141541513	0.05274116	-0.06394315	0.259805168	-0.498799274	-1.026171239	0.953394405	-0.137053725	0.192455413	-0.088219837	0.573598229	0.925230927	1.407725371	0.03407895	0.039247131	-0.817191126	0.413127006	-1.107196638	0.244427401	0.27171292
HMDB0030423	-0.275569547	-0.029034101	-0.301469107	-0.101792325	-0.484662302	-0.325658148	0.654476113	-0.529287507	0.077664816	-0.105723296	0.059251735	-0.087273949	-0.331832615	-0.041075436	-0.057011821	0.160618491	0.154614326	0.148943133	-0.032812631	-0.098761972
HMDB0030434	-0.699358139	-0.315596547	-0.421197705	-0.633446417	-0.59394915	-0.522971523	1.769094589	-0.650773374	-0.411581106	0.458803978	1.219367653	1.366987471	2.382666082	-0.375722695	-0.862546201	-0.835412642	-0.358148643	-0.316910096	-0.199518987	-0.678968229
HMDB0030460	0.542612782	0.562077836	0.476453907	0.53146681	0.510057379	0.628573637	-0.518710021	0.534481876	0.568435579	0.438972997	0.409849446	0.941457987	1.569802122	-0.161937763	-0.545533573	0.037339626	0.012406306	-0.587462753	-0.091625745	-0.724101344
HMDB0030462	-0.62034993	-0.1896439	-0.395208726	-0.958304713	-0.446290755	-0.216223258	1.184538583	-0.641246021	-0.016126097	-0.235923707	0.764854991	0.976207663	1.627203959	0.31695225	-1.137225703	-0.38042837	-0.381651193	-0.375678285	0.181041421	-0.617088323
HMDB0030465	-0.474210714	-0.449422413	-0.346784855	-0.58701494	-0.631938976	-0.244924178	1.043400271	-0.573218021	-0.537986823	0.137527119	0.90750275	0.964241038	1.120567481	0.371334992	0.030046177	-0.483082497	-0.568193976	-0.752765526	0.787392894	-0.61330074
HMDB0030494	-0.235319564	0.802192097	-0.163897783	-0.34943612	0.316931182	0.510200956	0.253805332	-0.080030231	-0.45116563	0.159997354	-0.325544538	-0.107628874	-0.820536731	0.063013355	-0.255768094	0.164046116	-0.067983511	0.663256595	0.00336154	-0.059395336
HMDB0030505	-0.14899143	-0.365925698	-0.334282083	-0.55367667	-0.036531495	-0.472226077	0.35594342	-0.130917914	-0.587281214	-0.378235138	0.140206506	0.690100698	0.825511908	0.141358001	0.218886102	-0.001930791	-0.196689799	-0.733806397	0.311878091	-0.381870763
HMDB0030510	-0.29753064	0.238962428	-0.055654104	-0.408668564	-0.292478916	-1.519037455	1.653445092	-0.968399561	-1.155313342	-0.731978887	1.804790257	1.630168508	0.868623658	0.715344567	-0.61760145	-1.057066185	-0.684539788	-0.514768643	0.791013992	-0.211120824
