	X1004V4	X1055V4	X1075V6	X1107V4	C132V8	C161V8	C220V8	C532V8	K003V4	K014V2	Z002	Z003	Z007	Z008	Z010	Z011	Z015	Z017	Z018	Z020
C00009	0.222234463	0.412519852	0.060565432	0.212329779	0.171759666	0.065464222	0.060476139	0.127486234	0.051741108	0.057972356	-0.158126648	-0.156407291	-0.366709603	-0.328423338	0.027636458	0.232148532	-0.0815132	0.291594457	-0.064978725	-0.036176118
C00015	0.383599827	0.189705705	0.718884694	0.706313639	0.509917349	0.207354504	-0.786046684	0.331366729	0.411670795	0.650885887	-0.695771959	-1.794211729	-1.348003253	-1.582879479	0.830341508	0.577147496	-0.844436973	0.759412626	-0.589052392	-1.293036319
C00016	-0.057607643	1.007939331	0.653966623	0.275418943	-0.410681199	0.4835554	1.845144176	-0.07665178	1.524170201	-0.767351967	-0.035967764	0.618305819	-1.644465866	-0.682218112	-0.293000636	-0.412611032	-0.116658845	-0.156522733	-1.1367126	0.711345285
C00020	0.580836735	1.015944123	-0.454782785	-0.832072324	0.273276095	0.102475894	0.573176414	0.191242675	0.509844587	0.007360202	0.467433175	-0.126111606	-0.696872223	-0.410238577	-0.360828917	-0.815746443	0.44473335	0.420703574	0.833134962	0.481132425
C00022	0.060938171	0.260569519	-0.305375005	-0.455098335	-0.363645164	-0.082526336	0.632777112	-0.178603386	0.047760676	-0.116076266	-0.374957416	-0.079319785	-0.480373993	0.056713799	-0.002859426	0.315390239	-0.129724585	0.284688959	-0.131439138	-0.102641707
C00025	0.222180264	-0.089221186	0.195752092	0.474578105	0.064021879	-0.932738187	1.484454224	0.462632011	-0.409457142	-0.344781009	0.712642089	0.968317068	1.303523676	0.502267311	-0.172209694	-0.574675299	-0.175720075	-0.299986212	0.031353621	0.102660616
C00026	-0.075385855	-0.140548666	0.422265847	-0.091572739	-0.035491886	0.049427576	-0.175330459	-0.000127279	0.06790818	-0.031395379	0.031849826	0.182508391	-0.349420085	0.337022768	0.113776001	0.156763841	-0.384350739	-0.132593618	-0.705289153	0.151884158
C00031	-0.146151956	-1.16653839	0.239219118	-0.737583858	-0.178734434	-0.083819232	1.015493645	-1.265078759	1.4457214	-0.193380908	0.042853191	-0.013322868	0.016147999	0.938849791	0.262581144	-0.121575632	-1.211542855	0.492448973	-0.757739331	-0.399252139
C00041	-0.208373493	0.01352954	-0.18147084	-0.109712494	-0.126483824	-0.140369453	-0.001991523	-0.090936676	-0.132443454	-0.047390766	-0.248281348	-0.185877586	-0.295155739	0.044454232	-0.072255691	0.259064073	-0.070038516	0.284347205	-0.047682074	-0.067207761
C00042	1.070583943	1.039045546	0.222860538	0.408920718	-0.559129378	0.670631427	0.564267362	-0.749463473	-0.656602897	-0.661668807	-0.385342515	0.515614405	2.130839565	0.641385133	1.197214137	0.015758123	-0.186406642	0.725557576	-0.774180429	0.334575182
C00047	-3.327833999	-0.388187635	0.167186094	-0.198577852	-0.507161157	-0.472104199	1.073872844	-0.206716796	-0.394446564	0.16680102	0.570460016	-0.790039354	0.123660883	-0.818884234	-0.151595589	-0.792278985	-0.107697853	0.619392489	-0.638526402	-0.235969108
C00051	-1.457488452	-0.820088802	-0.38367204	-0.029189591	-0.69663381	-1.131912567	0.579110065	0.179683769	-0.156600448	-0.010012947	-0.123225859	1.662744052	0.520466868	-0.183649972	0.030157802	-0.416221216	-0.381761344	-0.354375821	-0.54443539	-0.049778716
C00055	-1.351324924	0.430960318	-0.052516358	-0.630085845	-0.379226291	0.111944232	0.988758287	-0.33348931	0.055481562	-0.552144629	0.302503676	0.414529957	1.071111882	-0.369105774	-0.321233414	-0.790349823	0.279731836	0.325401848	-0.116619679	0.560855182
C00059	0.156424986	-0.130683493	-0.100288961	0.394961731	0.21665803	1.022533092	0.186926132	-0.13974778	-0.262784313	-0.29988812	-0.134652157	-0.075804314	-0.117442644	-0.183703024	-0.028299055	-0.140122747	-0.256506851	-0.186794047	-0.322844818	-0.167520433
C00062	-0.710787142	-0.620082335	-0.059502144	-1.315759864	-0.261328052	-1.14463252	0.887124498	-0.505558399	-1.514152203	0.143379315	0.460959547	0.778074347	2.245093337	-0.153715948	0.874018265	0.038331735	-0.311304804	-1.448557266	0.672143159	-0.278115278
C00063	-0.12358009	0.729643109	-7.972810695	-0.232573361	0.252298531	0.0766619	-0.054183545	0.393673111	-0.260794779	-0.543127248	0.50078857	0.357668876	0.576599017	0.143951663	0.430074467	-0.040892369	-0.012158853	0.196647507	0.092924958	-0.358490209
C00064	-0.086409311	0.275501957	-0.050575391	-0.163919479	0.01582666	0.042190973	0.500654507	-0.163429404	0.312767771	0.21808824	0.313345551	0.219542503	-0.324632228	0.028591001	-0.109799741	-0.409131763	-0.102158995	-0.17993527	-0.163188275	0.403808426
C00068	0.569827673	0.37757446	-0.319286768	-0.364448148	1.018723976	0.972586478	-1.52293201	-0.036848971	1.095739545	-0.475825947	1.379732206	-0.808575934	0.520472801	0.094999598	-0.515311721	-0.371664916	0.233754251	-0.34400119	1.219351907	-0.244395182
C00073	-0.615219352	-0.198283822	-0.528205521	-0.993949184	-0.783930541	-0.242007345	1.049752005	-0.667455133	-0.191583714	0.251898074	0.747438696	-1.482625313	0.488037136	0.167576295	-0.391472933	-0.565185795	-0.062783064	0.304204031	0.044134082	-0.298837731
C00077	-0.41934414	0.261359143	-0.852685082	-0.706804445	-0.17818182	0.409643368	1.128247383	-0.775220901	0.24209311	0.239107712	0.538197877	0.73139765	0.98469518	0.379229021	-0.130436823	-0.434558344	-0.13308943	-0.226990638	0.02338498	0.077267824
C00078	-0.73870522	0.407361253	0.006371896	-0.382775452	-0.659131813	-0.278438975	1.214516827	-0.486343724	0.284512232	0.6446968	0.699061979	-0.383230502	0.346008573	0.474075003	0.222981893	-0.727638343	0.400464392	-0.763876971	-0.310797434	0.107318939
C00079	-0.279773419	-0.751510108	-0.158290969	-0.114925	-3.413452497	0.038353512	0.786054094	-0.196049633	-0.302200993	0.394974824	0.823309538	0.272448846	0.884287954	0.111785159	-0.558607983	-0.684698664	-0.050236711	-0.329858239	-0.091355976	0.093577265
C00082	-0.194940146	-0.171743936	0.163182111	0.301503339	-0.023199087	-0.26643685	-0.018683819	0.283681725	-0.05264784	-0.191867379	0.221682299	0.092754231	0.391090906	0.085424769	-0.379495196	-0.560896894	-0.073551433	-0.138593967	-0.211954717	0.050616547
C00085	0.376342367	-0.302178214	0.24597341	0.219218718	0.104256639	-0.098492546	-0.006829504	0.982546192	-0.97422895	-0.47090909	-0.136061813	-2.781743933	0.680337633	0.082793824	0.020591708	-0.62629549	0.070306656	0.02569693	-0.502471708	0.519045165
C00089	-0.241956625	-0.428311919	-0.152697061	-0.058109726	-0.198925617	-0.29067472	1.720492406	-0.312491022	-0.546029943	-0.387030603	1.076093781	-1.264539495	-0.481813694	1.262286786	0.209384829	0.009138353	0.120569575	-0.722483434	0.172848245	-0.024997911
C00104	-0.427670429	-0.261775008	1.280280913	-0.492555526	-0.728855152	0.102670032	0.035595792	-0.080866027	0.232321899	-0.490239147	0.027865848	-1.594127339	2.588302963	0.230777794	-0.002691491	-1.199074694	-0.820589983	0.015633004	0.045919979	0.153994011
C00105	-0.04786086	1.087010298	-0.127597635	-2.561807334	-0.642559929	-0.015203603	1.547879694	-0.034691693	0.212571246	-0.547075127	0.611470138	0.748724349	2.075616626	-0.641095663	-1.028045676	-1.254424815	0.340796286	0.888548705	0.134487866	1.214448189
C00106	-0.262993152	0.608644066	-0.361269202	0.483213241	-0.254452868	-0.571040088	0.197713171	0.173591287	-0.520479341	0.518149424	-1.039562043	0.143461412	0.884465228	-0.509032503	-0.207424963	-1.376890702	-0.040832154	0.522444962	0.151298747	0.591834013
C00109	0.601852348	0.692019292	0.553350501	0.16398279	-0.05499789	-0.210087397	-0.081362372	-0.880814909	-0.091250285	-0.301702518	-0.188129082	0.25752673	1.056493318	0.319738868	0.594678127	0.010274222	-0.08972601	0.361374528	-0.380466659	0.167976187
C00114	0.212178028	-0.472832761	0.057539955	0.269827809	-0.003183515	-0.126619273	-0.471640002	0.263795389	-0.551590056	0.262353361	0.598021858	0.580383324	0.918947991	0.288915027	-0.12280342	-0.55876767	0.224020189	-0.29813807	0.154910229	0.036686925
C00117	0.669443024	-0.10516917	-0.032823148	1.046088573	-0.339091216	0.721037669	0.350579709	0.187407042	0.548626422	0.050450018	-1.129316579	-1.480439318	-2.169997226	0.081089972	-0.653358121	-0.223507383	0.184757527	0.48034226	-0.321161592	0.282059927
C00120	-0.343875746	-0.080678196	-0.19599431	-0.391977142	-0.386003629	-0.133953293	0.793671584	0.041778368	-0.174453139	0.185685248	-0.376910935	-0.203106502	-0.212173003	0.117775288	0.073254291	0.368900595	-0.307161849	0.506424985	0.000886015	0.031681536
C00121	0.528540326	0.447042484	-0.985676126	0.103101423	-1.846319781	-1.077451256	-0.042921001	-0.080578515	-0.455190478	0.364233155	0.048100942	-0.012887706	0.019107922	1.020857366	0.28665294	-0.130414461	-1.313758924	0.536213494	-0.821078156	-0.431879449
C00122	0.189646893	0.451904141	-0.451206316	-0.64163634	-0.288493188	-0.232316632	1.061258234	-0.063484758	0.124577306	-0.589214328	-0.144943439	-0.190258481	0.044664636	-0.007553526	-0.069191438	-0.493216552	0.081568361	0.465879308	-1.07060704	0.130823401
C00123	-0.097677093	-0.433418368	-0.101046817	-0.793783121	-0.415041014	-0.132491074	0.760648209	-0.237163868	-0.074811246	0.188357946	0.467542022	0.635472857	0.855641157	0.329364982	-0.11364077	-0.377985703	-0.115946437	-0.197566141	0.020062408	0.066897821
C00127	0.07794875	-0.009855397	0.543246443	0.205920569	-0.148256015	0.242353567	0.449113699	0.307341378	-0.160165841	-0.065253759	-0.248106594	-0.363636861	-1.094646763	-1.060636503	-0.7435248	-0.855849421	0.31054569	1.956270225	-0.253555501	0.462891119
C00128	0.022932776	0.016199701	1.011386561	0.004297189	-0.13376084	0.104741076	0.13226107	0.462930258	-0.513788306	-0.476958227	-0.040606808	-0.22947431	1.435180905	0.292380928	-1.58111097	-1.791373654	0.092768682	0.988366614	-0.130750815	1.135546551
C00129	0.202756717	0.202147758	0.268918062	-0.289121096	0.324525421	0.013432833	-0.100190196	0.182394495	-0.842752064	0.035068271	-0.715591807	0.160516629	-0.675298683	0.280528431	-0.391322362	0.350770944	-0.13008609	-0.295944592	-0.150815433	-0.252813939
C00135	0.094564674	0.376577565	-7.092561358	0.244874422	0.116722918	-0.537235903	0.495467562	-0.382726212	0.088442811	0.03127066	0.059739019	-1.00522574	0.076068915	-0.061455248	-0.475242916	-0.823221325	-0.357945603	-0.228196638	-0.719693623	0.53025868
C00140	-0.767745655	0.800105691	-1.354855965	-0.249355896	-2.414077186	-1.551320257	-0.286775755	-0.082645744	0.428724648	-0.506378083	-0.235687788	0.989344414	-1.509217516	0.4312441	-0.029487964	0.826177599	-2.793198097	0.44598552	-0.339166823	-2.178847201
C00143	-0.066771386	0.279171664	-0.124094054	0.144521911	-0.018685566	0.142222948	-0.144733225	0.138215595	0.470502274	-0.000371128	-0.32846364	-0.479190312	-0.435398148	-0.033068663	-0.051588066	0.328786376	-0.098495183	-0.187125411	-0.076981567	-0.043764889
C00146	0.518073267	0.403225127	-0.275603303	0.108460912	-0.269305241	0.469790676	-0.094804001	0.700978822	0.192223024	-0.574000458	-0.625595923	-0.732593424	-0.264940073	-0.176905613	-0.378029672	-0.199761165	0.041662211	0.21817445	-0.16523662	0.169040335
C00147	0.852534902	0.17453407	0.156942359	0.723669606	0.422598576	0.399166628	-0.457878309	-0.287859896	0.361600932	0.307629281	0.319931764	-0.854955551	-0.183150652	-0.476274811	-0.463242574	-0.472979094	-0.492916878	0.215698989	-0.017840817	0.0007606
C00148	-1.014247034	0.05374977	-0.678001493	0.505411424	-1.04274964	-0.363137169	1.277282129	-1.073640916	0.680718943	-0.086430312	0.520925441	-0.920355657	1.669825474	2.380105719	-0.096990195	-1.277738952	-0.621691066	-0.148653883	-0.666302278	0.936656795
C00153	0.99672404	2.033091425	0.671896778	0.442697592	0.351844676	-0.208353633	0.967309254	-0.646301923	-0.208146119	1.287835156	-1.11820264	0.497654438	-0.101179639	-0.81613072	0.725165823	0.830329994	-0.271673708	-0.747918421	-1.702288305	0.556611557
C00155	1.04362029	-0.257583065	0.077116415	0.837259765	-0.234142601	-0.11692827	-0.053013678	0.272088783	0.526173778	-0.429733245	-0.31077486	-0.343643246	-0.886434506	0.109911053	0.547546543	0.392936869	-0.486485179	0.050517687	-0.293428278	-0.324778327
C00156	0.261526687	-0.161893521	-0.534259173	0.126462472	-0.416303947	-0.394631539	-0.328139487	-0.253142213	-0.160237673	1.027828643	-1.38361222	-1.675645678	-0.883570398	0.047744448	-0.248814379	0.80459386	0.630088774	0.573666814	-0.388888765	0.246664159
C00158	-0.444378648	-0.120900178	-0.037941987	-0.48067167	-0.339833665	-0.295471137	-0.375586091	-0.051920214	0.388757593	-0.231657892	0.612501447	0.632395959	0.429352037	0.163666692	0.263813484	-0.20173743	0.145912428	-0.272376086	-0.303622452	-0.880284685
C00166	0.243889123	0.244197176	-0.061066671	0.165801087	0.359445471	0.180609321	-0.323621875	0.216271646	0.011055965	0.211499022	0.468906937	-0.239796517	0.03263932	-0.301913395	0.221699501	0.137836704	-0.237866046	-0.154487147	-1.941498723	0.03238673
C00170	-0.50036532	0.136130377	0.224409839	-0.321199739	-2.994238167	0.073143137	0.585413961	0.150371378	-0.151131356	0.329381082	-0.608165291	-1.052098122	-0.181620766	-0.415208796	-0.112416533	-0.084966852	-0.045636697	0.804916811	-0.048244341	0.261183077
C00178	-0.483131614	0.573197044	-0.080390937	-0.193377009	0.052641052	0.797073479	0.174738904	-0.199755255	0.14922592	0.300481468	0.292737271	-0.420631305	0.505230038	-0.46616547	-0.071536045	-0.375097141	0.535586148	0.140956723	-0.299206867	0.232025052
C00180	0.126074441	0.85459955	-0.261809533	0.42669269	0.146377198	0.439108543	0.040422631	0.508245773	0.885501678	0.049903937	1.413127373	0.066231414	0.916667011	-0.198737789	0.827505118	0.575293374	-0.475821277	0.39515076	-0.588061341	0.368303094
C00182	-1.14583538	-0.149463112	0.035903526	-1.4663285	-0.788340832	-1.06673154	1.841477366	0.414359097	-0.598577046	0.176768086	-1.340080104	-1.193043986	-1.083874144	0.778729208	0.750823932	0.897790787	-1.5649606	0.245176219	-0.281369828	0.335649737
C00183	0.896899789	0.325315346	-0.014302037	0.7575954	0.004935906	0.088467414	0.542019194	-0.14943859	-0.481167743	0.229778945	0.649763975	0.8862378	1.196270439	0.455188314	-0.168635563	-0.540876057	-0.171882315	-0.286816082	0.019640176	0.085592026
C00184	-0.977149236	0.313428735	-0.121173842	-0.555325526	-0.920230755	-2.29051979	1.494156665	0.032708083	-0.113486786	0.638969261	0.527681316	4.104059718	-1.400599407	0.005175454	-0.232189314	-1.25435972	-0.473443398	0.586239128	-0.869082346	-0.641261874
C00187	0.395479237	0.077219222	0.387708348	-0.956330021	-0.919314453	1.445809545	-0.543751224	0.530531724	0.803763622	-0.560017214	-0.436273774	0.084622498	-0.320047328	0.378076556	-0.251422735	0.931252012	-0.09844505	1.042720654	0.42506025	0.242411146
C00193	-0.031932383	-2.183870866	0.135735925	-1.240216691	-0.114825133	-0.566299956	1.400558907	-0.067784506	0.280236629	0.423678926	-0.655490538	-0.673589124	0.563351728	-0.341679206	-0.442564453	-0.085033015	-0.467879051	-0.319258445	-0.494624131	-0.161851077
C00207	0.223386749	0.229781757	-0.4737947	0.16167472	0.188892487	0.378846862	0.08404015	-0.266263382	-0.054511382	0.124520993	-0.159903229	-0.242440555	-0.391360641	-0.140792607	-0.06402345	0.313176105	-0.286169916	0.131088835	-0.027317655	0.04545717
C00209	0.897942825	0.729030261	0.116822757	0.834568821	0.8130557	0.015397347	-0.547631085	0.184731868	-0.021517865	0.222696822	0.541584689	4.200184955	-1.431027709	0.00706628	-0.235755565	-1.281425933	-0.482556142	0.601488759	-0.887290933	-0.65423281
C00212	1.928627514	0.253645329	0.26414382	1.546921065	0.863789751	0.82939191	-1.402991657	-0.928721876	0.734393028	0.850279828	-1.542165654	-0.272322627	0.293706232	-0.186443858	0.418467042	0.808698415	-0.45625798	0.536202496	-0.208067386	-0.169657402
C00214	-0.073469522	0.459555154	-0.422033932	-0.340030973	0.959592255	1.18971843	0.075493891	-0.72048349	-0.737028514	0.478439436	-0.851976587	-0.366106465	0.157036468	0.444796679	0.275083501	0.314043441	0.307059468	0.415101997	-0.344913827	-0.525900182
C00219	-0.033441642	0.02451589	-0.252869002	-0.114396284	-0.098835693	0.182770271	-0.074290035	0.331278839	0.679337871	-0.166730776	0.435535798	0.257096574	-0.350252928	-0.410605732	-0.372637722	-0.321151078	0.795827325	0.358224025	-0.228019004	0.309947839
C00224	-0.821701366	0.591782903	-1.02724694	-0.036600474	0.38096827	-0.316147183	-0.137686627	-0.021051868	0.280208154	0.350032218	0.27101924	2.73173012	-0.039159569	-0.533366971	-0.055258589	-0.629581535	-0.630642628	-0.507783049	-0.855629275	0.216910897
C00233	1.180656312	1.092645483	-0.996845946	0.372813771	-0.501609252	1.105099502	-1.031760823	1.397094644	0.928825628	-1.413768304	0.003809588	0.343293079	-0.876345545	-1.481897136	-0.448039606	-0.466566196	0.249594182	1.286517009	-0.527571094	0.368603294
C00234	-0.039270583	-0.389672974	0.217384184	-0.956186147	0.804991634	-0.83316993	0.533904167	0.134471772	-0.636521383	-0.143674162	0.99466946	1.063702281	1.906983153	0.989002793	-0.332926253	-0.210478791	-1.055233453	-1.059972992	0.365177796	-0.47263535
C00242	0.43466297	-0.016465785	0.165815611	0.234346173	0.235712882	0.226800639	0.519609395	-0.200782852	0.216417289	0.187430283	0.348752557	0.141892281	0.826130035	-0.025018747	0.142183639	-0.265735678	0.219558302	-0.54578264	-0.24175501	0.243953229
C00245	-1.446379258	-0.378555685	0.224448063	-0.616477707	-0.78047225	-1.26794514	1.290011424	-0.422090445	-0.600466866	0.216908564	0.47457288	0.574081874	1.483568451	-0.262101018	-0.112891124	-0.743729048	0.313165674	0.537260968	0.412215242	-0.248045423
C00246	1.048768263	1.478912241	0.722436008	0.434495835	-0.14920436	-0.358279563	-0.115616025	-1.937497438	-0.586636288	-0.657946597	0.004379126	0.35992943	-0.917431253	-1.551641883	-0.468854802	-0.488258201	0.261796029	1.347793486	-0.552150295	0.386437498
C00249	0.771918041	0.66011417	0.59435941	-0.233816252	0.722394885	1.034650343	-0.945275614	0.616812168	0.570338367	0.228473281	0.002011848	0.332700851	-0.855342436	-1.445206914	-0.438131972	-0.456178622	0.241429269	1.251490105	-0.515603158	0.357355395
C00253	-0.816107305	1.059649786	-0.231789956	-0.094285105	0.153492013	0.179344569	-0.307504376	-1.172971365	0.349496817	0.275838397	-0.863008928	0.38340678	-0.078512903	-0.630001203	0.558901127	0.640021093	-0.210026081	-0.577384625	-1.313552218	0.42888425
C00257	0.001157753	-0.732222269	-0.611709533	0.285521281	-0.781284376	0.155940214	0.665116907	0.302528339	0.184248608	-0.448208828	0.469854148	0.176364886	0.426498455	-0.156260871	0.38619801	-0.28103867	0.518720027	0.093954999	-0.296345143	-1.067238174
C00262	0.198862302	0.209477531	0.016378894	-0.61868115	0.184894957	0.142380459	0.888155495	0.847476339	0.723653781	0.569971336	-0.688395857	-2.889407744	0.441373308	-0.572697795	0.329089665	-0.516732618	-0.320457149	1.347101343	0.442052119	0.946222903
C00279	0.09384929	0.18531624	0.087464511	-0.011971026	0.034338639	-0.107947227	0.650833627	0.145117054	0.382654879	-0.373444632	0.235690397	-0.762679131	-0.127574589	-0.472301325	-0.294115512	-0.260652883	-0.671777925	0.142375578	-0.240973363	-0.20171041
C00280	0.094904488	-0.196342437	0.292393792	1.043525766	0.54408757	0.398742051	-0.689980261	0.473999457	-0.405340979	0.265290074	0.22312866	-0.497812141	-1.572126418	0.130221943	-1.089509065	0.205408922	0.008602136	1.215330351	-0.354773288	-0.581660031
C00292	0.342640378	0.09188406	-0.03270417	0.406107835	-0.04161432	0.162237015	0.00894159	0.088247915	0.119432452	-0.08574372	0.16696211	0.152528364	1.495554742	0.039345253	-0.237686047	-0.01559935	-0.16248321	0.018742936	0.091269782	-0.071690707
C00294	-0.063866733	0.122354852	0.159153705	-0.430825421	0.06008364	0.020697027	-0.003905443	0.759608328	0.346812984	1.000101085	-0.771970497	-2.152351641	0.310740632	-0.453395478	0.264517701	-0.406321445	-0.336345521	1.072939287	0.262954318	0.793923736
C00295	0.222465357	0.059383181	0.862352804	-0.136927207	0.758014432	-0.309304223	0.431255898	0.66244597	0.022438289	0.405065071	-0.084453575	-0.619440439	1.012733824	-0.391469442	-0.024819106	-0.002668511	-0.394247236	0.123652453	-0.347182292	-0.183622088
C00299	-0.429505429	-0.142167404	-0.3093482	-0.154051249	-0.014784377	-0.465639136	0.592102165	-0.570472597	-0.087308952	0.132788135	-0.060468137	-1.253373963	0.603904445	-0.167756291	0.165610603	-0.275037195	-0.09595439	0.22471725	-0.437591012	0.54718119
C00300	-0.189122606	0.139488357	-0.263506791	-0.09138363	-0.135501375	-0.131293929	-0.040164293	-0.12112293	-0.123665547	0.02591156	-0.487745603	0.043387915	-0.511380032	-0.083581794	-0.036031205	0.264861578	-0.041400437	0.308943802	-0.222917423	-0.032489835
C00306	0.620997123	-1.331530451	0.414845348	0.578570988	0.618669902	-0.903134322	-0.051388783	0.544979185	0.608939337	0.607435756	-0.485369308	0.582891362	0.746573192	0.373622911	-1.277068318	0.338899617	-0.746976612	0.361942938	-0.376018052	-0.370839465
C00307	-0.31830263	0.146474248	-0.332244437	0.227408114	0.078288708	-0.283045426	-0.708898979	-0.355571327	-0.138658487	-0.282022512	0.241654548	-2.188398802	-0.134578054	-0.633056529	-1.577711829	-1.60317295	-1.49867921	0.376728482	0.156695931	0.228562501
C00314	-1.430045298	-0.267500711	-0.676483705	-0.383698368	-0.376166186	-0.022950997	1.089831047	-0.233548951	0.179623025	0.135809459	-0.884475053	-1.141266332	-2.15051317	0.153570602	-0.48918545	0.91985029	-0.330050777	0.812681114	-0.251932859	0.011816724
C00317	-0.193768335	-2.809731415	-0.541606108	0.686619775	-0.234755993	-1.728252991	0.554562901	-0.893937756	-0.986041834	0.379107776	-1.158140506	-1.030912341	-0.936449306	0.67523365	0.651087629	0.778255856	-1.352726253	0.213558192	-0.242054267	0.291843579
C00318	-0.011860486	1.085403168	-1.292190455	-1.270357309	0.183206136	1.070513856	1.046757429	-0.38501616	-0.913242534	-0.679845702	0.53553494	-0.086037222	0.972338527	-1.376215068	-0.42058327	-0.699024212	-0.181234182	1.404674314	-0.112339209	0.36646793
C00319	0.166367144	0.277903846	0.267671708	-0.407378462	0.126382055	0.505118008	-0.111543296	-0.117399914	0.308104774	-0.082850831	-0.569990631	-0.008750323	-0.391029197	-0.026271171	0.005290203	0.06317035	-0.349590107	0.528463517	-0.226148533	-0.023805468
C00328	0.655279909	0.948220434	0.573055128	1.411608531	0.928996046	0.375578998	-0.419421784	-1.045240329	-1.010983129	0.459419563	0.1607288	-2.629481911	-1.729756197	0.293359137	-1.000676499	-0.273415364	0.148109493	0.664343744	-0.971396931	0.271757184
C00329	0.052105998	0.073021186	0.100117191	0.191119073	0.18850767	0.016568738	-0.158858103	-0.185851702	-0.118636116	0.363366614	0.106000807	0.252799719	-0.2149428	0.18201007	0.130750642	0.206957632	0.306675071	-0.525373464	-0.000120913	0.108401567
C00345	-0.388909178	-0.275299386	0.365671595	-0.197315207	-0.392576352	-0.011335278	0.352840791	-0.003129578	2.947302829	0.188113481	-0.173573689	-3.681119225	0.908777896	0.116576857	0.03411164	-0.823507002	0.100021843	0.04087995	-0.659346104	0.694942426
C00352	-1.059298426	0.170868687	-0.906089036	-0.50054579	-1.47629748	-1.226081559	0.684187221	-0.551330992	-0.005079834	-0.392471392	-1.267871101	-1.659780215	-2.429437085	0.083136125	-0.736625368	-0.256843221	0.198845691	0.52876551	-0.365840931	0.307450725
C00353	0.056031903	-0.123653308	0.080317399	0.204307019	0.091881609	-0.109292779	-0.022111179	0.066074085	-0.242255967	0.057260235	-0.299975184	0.064021385	-0.283234605	0.113882659	-0.165251031	0.143066307	-0.056715254	-0.125624449	-0.065327677	-0.107704972
C00355	-0.099571164	0.068152702	-0.232692629	-0.136430094	-0.235958653	-0.178971885	0.460490764	-0.793976693	-0.219897546	-0.028057342	-0.015311483	-0.297175746	-0.554760388	-0.103814201	-0.011144152	0.292075435	0.29899666	0.236617746	-0.094501879	0.022192865
C00357	1.682326256	2.615388631	-0.255878864	-0.216302333	0.199752152	0.054577003	-0.478341092	-0.194998139	-0.345607047	-0.383335423	-0.235676964	-0.197829304	0.36759497	-0.286458416	-0.482650909	-0.590450491	-0.602146445	-0.116986637	-0.029653007	-0.284889124
C00362	0.360115683	0.584639348	-0.063695579	-0.105767052	0.232310932	0.379060771	-0.16229379	-0.12996052	0.501142484	-0.697863015	0.423669912	-0.171754519	0.455006355	-0.094110974	-0.785373537	-0.860683451	-0.130146111	0.334129844	0.865263148	0.189948541
C00365	-0.198057428	0.55927772	0.342997245	-0.355106793	-1.195820799	0.019337847	1.162695566	-0.369564219	-0.671790123	0.696466495	-2.293426124	0.153885942	-0.058824165	0.896429912	-0.536134769	0.781591874	-1.768035245	-1.194494694	0.249154075	0.675416501
C00366	0.500288053	-0.350522764	-0.126071575	1.359425381	0.070770203	0.890689455	-0.426542804	0.463147457	0.843536341	0.375485099	-0.911360155	-2.523894874	-5.192627369	0.780056875	-0.015644459	0.980898985	-0.304405715	0.125997681	-0.02468179	-0.376511367
C00371	-0.194777396	0.119485581	0.09716262	-0.283237368	0.7213179	0.230866588	0.375640813	-0.214037118	0.088074389	-0.285027003	-0.73088369	-0.315840945	-0.386603359	-0.111570242	-0.239555765	0.357750254	-0.240526657	0.298123854	-0.183553213	-0.117653611
C00376	-0.406414087	-0.201489164	-0.305259657	-0.245090211	-0.110798985	-0.096846649	0.596410007	-0.502336392	-0.193640975	-0.029701036	-0.294043502	-0.180923661	-0.378883383	0.045316023	0.017036062	0.328115626	-0.12436374	0.299835666	-0.011243898	-0.12436374
C00378	0.476894591	-0.532192943	0.32139208	0.090527094	-0.428566429	-0.402298289	1.479200146	-0.501087683	-2.313857085	0.241951937	-1.094540192	-0.17196655	-0.053128288	-0.309122439	0.702873529	1.598351619	-0.239262881	-0.736111359	-1.60590549	0.672940051
C00381	-0.049121248	-0.432665508	-0.05192925	0.600995714	-0.13390541	-0.888768282	0.670630452	-0.27589448	0.047874043	0.328041081	-0.880545104	-0.256920667	-0.354371009	-0.4229076	-0.18736806	0.423517212	0.150137767	0.885383739	-0.039582996	0.087523117
C00385	-0.306219895	-0.017005197	-0.080156602	-0.126989098	0.077675098	-0.11145671	0.341853816	0.056161507	-0.133225732	0.015977133	0.229725748	0.094649294	0.541445625	-0.014340958	0.094839537	-0.17152526	0.145363957	-0.354391447	-0.155866259	0.161293454
C00386	-0.321714288	-0.363274178	0.424449975	0.930930656	0.091646768	-0.13355379	-0.268314512	0.413622763	-0.868142073	0.055211953	1.179385729	-0.453055788	0.335866655	0.661246842	-0.546093752	-1.371503246	1.171201394	-0.53769833	-0.191911943	0.579858951
C00387	0.7606752	0.030930692	-0.285317004	0.167828655	-0.099412557	0.007430455	0.920765634	0.006998839	0.375959218	-0.097056886	-0.815508629	-0.92225629	0.253278579	-0.834519328	-0.157209801	-1.04647099	0.085541479	1.172387068	0.35928006	1.154105369
C00389	-0.15016769	0.109826659	0.100526133	-0.048066842	-0.179450327	-0.159796942	0.102607183	-0.085857961	-0.366525977	0.323294292	0.000498629	-0.190130624	-0.500271391	-0.007054299	-0.051642695	0.387851586	0.267722099	0.250799048	-0.048447521	-0.227702807
